birdname,TaxonomyId,EnglishName,ScientificName,Count
Tree swallow,42890,Tree Swallow,Tachycineta bicolor,17
Purple martin,42898,Purple Martin,Progne subis,15
Eurasian crag martin,43013,Eurasian Crag Martin,Ptyonoprogne rupestris,129
Red-rumped swallow,43041,Red-rumped Swallow,Cecropis daurica,462
American cliff swallow,43064,American Cliff Swallow,Petrochelidon pyrrhonota,45
Cetti's warbler,43269,Cetti's Warbler,Cettia cetti,314
Long-tailed tit,43332,Long-tailed Tit,Aegithalos caudatus,2623
Long-tailed tit,43333,Northern Long-tailed Tit,Aegithalos caudatus caudatus,75
Eastern crowned warbler,43557,Eastern Crowned Warbler,Phylloscopus coronatus,120
Green warbler,43550,Green Warbler,Phylloscopus nitidus,21
Green warbler,51866,Black-throated Green Warbler,Setophaga virens,17
Green warbler,54312,Green Warbler-Finch,Certhidea olivacea,7
Greenish warbler,43465,Greenish Warbler,Phylloscopus trochiloides,202
Pale-legged leaf warbler,43552,Pale-legged Leaf Warbler,Phylloscopus tenellipes,4
Arctic warbler,43462,Arctic Warbler,Phylloscopus borealis,209
Pallas's warbler,43545,Pallas's Warbler,Phylloscopus proregulus,426
Yellow-browed warbler,43547,Yellow-browed Warbler,Phylloscopus inornatus,879
Radde's warbler,43542,Radde's Warbler,Phylloscopus schwarzi,148
Dusky warbler,43437,Dusky Warbler,Phylloscopus fuscatus,174
Western Bonelli's warbler,43536,Western Bonelli's Warbler,Phylloscopus bonelli,160
Eastern Bonelli's warbler,43537,Eastern Bonelli's Warbler,Phylloscopus orientalis,17
Wood warbler,43538,Wood Warbler,Phylloscopus sibilatrix,857
Common chiffchaff,43424,Common Chiffchaff,Phylloscopus collybita,2000
Iberian chiffchaff,43430,Siberian Chiffchaff,Phylloscopus collybita tristis,497
Iberian chiffchaff,43534,Iberian Chiffchaff,Phylloscopus ibericus,261
Willow warbler,43420,Willow Warbler,Phylloscopus trochilus,1802
Blackcap,45578,Blackcap,Sylvia atricapilla,1601
Blackcap,45192,Blackcap Babbler,Turdoides reinwardtii,4
Blackcap,45576,Bush Blackcap,Lioptilus nigricapillus,1
Blackcap,44977,Blackcap Illadopsis,Illadopsis cleaveri,0
Garden warbler,45584,Garden Warbler,Sylvia borin,464
Barred warbler,45587,Barred Warbler,Sylvia nisoria,605
Barred warbler,43551,Two-barred Warbler,Phylloscopus plumbeitarsus,13
Barred warbler,43450,Buff-barred Warbler,Phylloscopus pulcher,0
Lesser whitethroat,45590,Lesser Whitethroat,Sylvia curruca,527
Lesser whitethroat,154033,Siberian Lesser Whitethroat,Sylvia curruca blythi,50
Lesser whitethroat,45593,Central Asian Lesser Whitethroat,Sylvia curruca halimodendri,36
Western Orphean warbler,45602,Western Orphean Warbler,Sylvia hortensis,48
Eastern Orphean warbler,45605,Eastern Orphean Warbler,Sylvia crassirostris,28
Asian desert warbler,45666,Asian Desert Warbler,Sylvia nana,67
Whitethroat,45614,Common Whitethroat,Sylvia communis,2398
Whitethroat,45590,Lesser Whitethroat,Sylvia curruca,527
Whitethroat,154033,Siberian Lesser Whitethroat,Sylvia curruca blythi,50
Whitethroat,45593,Central Asian Lesser Whitethroat,Sylvia curruca halimodendri,36
Whitethroat,45595,Desert Whitethroat,Sylvia minula,8
Whitethroat,45599,Hume's Whitethroat,Sylvia althaea,1
Spectacled warbler,45627,Spectacled Warbler,Sylvia conspicillata,150
Spectacled warbler,43570,White-spectacled Warbler,Phylloscopus intermedius,0
Dartford warbler,45619,Dartford Warbler,Sylvia undata,852
Marmora's warbler,45668,Marmora's Warbler,Sylvia sarda,86
Rüppell's warbler,45671,Rüppell's Warbler,Sylvia ruppeli,64
Subalpine warbler,45630,Subalpine Warbler,Sylvia cantillans,146
Subalpine warbler,45632,Eastern Subalpine Warbler,Sylvia cantillans albistriata,141
Subalpine warbler,45634,Western Subalpine Warbler,Sylvia cantillans inornata,126
Moltoni's warbler,45670,Moltoni's Warbler,Sylvia subalpina,42
Sardinian warbler,45635,Sardinian Warbler,Sylvia melanocephala,282
Pallas's grasshopper warbler,43790,Pallas's Grasshopper Warbler,Helopsaltes certhiola,44
Lanceolated warbler,43787,Lanceolated Warbler,Locustella lanceolata,67
River warbler,43805,River Warbler,Locustella fluviatilis,36
Savi's warbler,43783,Savi's Warbler,Locustella luscinioides,96
Thick-billed warbler,43725,Thick-billed Warbler,Arundinax aedon,6
Booted warbler,43740,Booted Warbler,Iduna caligata,170
Sykes's warbler,43741,Sykes's Warbler,Iduna rama,41
Eastern olivaceous warbler,43733,Eastern Olivaceous Warbler,Iduna pallida,172
Olive-tree warbler,43749,Olive-tree Warbler,Hippolais olivetorum,4
Icterine warbler,43751,Icterine Warbler,Hippolais icterina,242
Melodious warbler,43750,Melodious Warbler,Hippolais polyglotta,326
Aquatic warbler,43717,Aquatic Warbler,Acrocephalus paludicola,53
Sedge warbler,43718,Sedge Warbler,Acrocephalus schoenobaenus,1860
Paddyfield warbler,43685,Paddyfield Warbler,Acrocephalus agricola,132
Blyth's reed warbler,43722,Blyth's Reed Warbler,Acrocephalus dumetorum,239
Marsh warbler,43723,Marsh Warbler,Acrocephalus palustris,238
Great reed warbler,43630,Great Reed Warbler,Acrocephalus arundinaceus,240
Zitting cisticola,44117,Zitting Cisticola,Cisticola juncidis,194
Cedar waxwing,41415,Cedar Waxwing,Bombycilla cedrorum,44
Wallcreeper,46925,Wallcreeper,Tichodroma muraria,67
Wallcreeper,46923,Wallcreeper,Tichodromidae,31
Red-breasted nuthatch,46919,Red-breasted Nuthatch,Sitta canadensis,13
Eurasian nuthatch,46825,Eurasian Nuthatch,Sitta europaea,3321
Short-toed treecreeper,46961,Short-toed Treecreeper,Certhia brachydactyla,71
Eurasian wren,46552,Eurasian Wren,Troglodytes troglodytes,2515
Northern mockingbird,46996,Northern Mockingbird,Mimus polyglottos,38
Brown thrasher,47041,Brown Thrasher,Toxostoma rufum,7
Grey catbird,46992,Grey Catbird,Dumetella carolinensis,80
Common starling,47293,Common Starling,Sturnus vulgaris,2342
Rosy starling,47291,Rosy Starling,Pastor roseus,1100
White's thrush,47509,White's Thrush,Zoothera aurea,72
Varied thrush,47544,Varied Thrush,Ixoreus naevius,5
Wood thrush,47700,Wood Thrush,Hylocichla mustelina,9
Hermit thrush,47688,Hermit Thrush,Catharus guttatus,66
Swainson's thrush,47681,Swainson's Thrush,Catharus ustulatus,83
Grey-cheeked thrush,47678,Grey-cheeked Thrush,Catharus minimus,87
Veery,47673,Veery,Catharus fuscescens,45
Siberian thrush,47461,Siberian Thrush,Geokichla sibirica,25
Ring ouzel,47749,Ring Ouzel,Turdus torquatus,1098
Eyebrowed thrush,47975,Eyebrowed Thrush,Turdus obscurus,21
Dusky thrush,47982,Dusky Thrush,Turdus eunomus,139
Naumann's thrush,47981,Naumann's Thrush,Turdus naumanni,6
Black-throated thrush,47979,Black-throated Thrush,Turdus atrogularis,403
Red-throated thrush,47980,Red-throated Thrush,Turdus ruficollis,2
Fieldfare,47983,Fieldfare,Turdus pilaris,1777
Song thrush,47827,Song Thrush,Turdus philomelos,1019
Redwing,47824,Redwing,Turdus iliacus,1273
Mistle thrush,47832,Mistle Thrush,Turdus viscivorus,737
American robin,47930,American Robin,Turdus migratorius,203
Asian brown flycatcher,48193,Asian Brown Flycatcher,Muscicapa dauurica,55
Spotted flycatcher,48180,Spotted Flycatcher,Muscicapa striata,1822
European robin,48390,European Robin,Erithacus rubecula,3986
Siberian blue robin,48575,Siberian Blue Robin,Larvivora cyane,14
Rufous-tailed robin,48585,Rufous-tailed Robin,Larvivora sibilans,12
Siberian rubythroat,48615,Siberian Rubythroat,Calliope calliope,66
White-throated robin,48608,White-throated Robin,Irania gutturalis,113
White-throated robin,48465,White-throated Robin-Chat,Cossypha humeralis,0
Red-flanked bluetail,48641,Red-flanked Bluetail,Tarsiger cyanurus,693
Thrush nightingale,48606,Thrush Nightingale,Luscinia luscinia,75
Nightingale,48602,Common Nightingale,Luscinia megarhynchos,604
Nightingale,48606,Thrush Nightingale,Luscinia luscinia,75
Nightingale,47621,Black-billed Nightingale-Thrush,Catharus gracilirostris,5
Nightingale,47652,Ruddy-capped Nightingale-Thrush,Catharus frantzii,5
Nightingale,47639,Slaty-backed Nightingale-Thrush,Catharus fuscater,2
Nightingale,47661,Black-headed Nightingale-Thrush,Catharus mexicanus,1
Nightingale,47624,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,1
Nightingale,53987,Nightingale Island Finch,Nesospiza questi,0
Nightingale,43704,Nightingale Reed Warbler,Acrocephalus luscinius †,0
Nightingale,196531,Nightingale sp,Luscinia megarhynchos/luscinia,0
Nightingale,47666,Gould's Nightingale-Thrush,Catharus dryas,0
Nightingale,46721,Northern Nightingale-Wren,Microcerculus philomela,0
Nightingale,47647,Russet Nightingale-Thrush,Catharus occidentalis,0
Nightingale,196191,Sclater's Nightingale-Thrush,Catharus maculatus,0
Nightingale,46705,Southern Nightingale-Wren,Microcerculus marginatus,0
Bluethroat,48588,Bluethroat,Luscinia svecica,566
Bluethroat,48591,White-spotted Bluethroat,Luscinia svecica cyanecula,244
Bluethroat,48589,Red-spotted Bluethroat,Luscinia svecica svecica,185
Red-breasted flycatcher,48757,Red-breasted Flycatcher,Ficedula parva,680
Taiga flycatcher,48758,Taiga Flycatcher,Ficedula albicilla,39
Collared flycatcher,48750,Collared Flycatcher,Ficedula albicollis,110
Collared flycatcher,48751,Semicollared Flycatcher,Ficedula semitorquata,25
Black redstart,48774,Black Redstart,Phoenicurus ochruros,2468
Black redstart,48778,Eastern Black Redstart,Phoenicurus ochruros phoenicuroides,387
Common redstart,48780,Common Redstart,Phoenicurus phoenicurus,2172
Moussier's redstart,48797,Moussier's Redstart,Phoenicurus moussieri,45
Common rock thrush,48827,Common Rock Thrush,Monticola saxatilis,244
Blue rock thrush,48814,Blue Rock Thrush,Monticola solitarius,383
Whinchat,48883,Whinchat,Saxicola rubetra,1474
Siberian stonechat,48839,Siberian Stonechat,Saxicola maurus,371
European stonechat,48836,European Stonechat,Saxicola rubicola,4390
Isabelline wheatear,49018,Isabelline Wheatear,Oenanthe isabellina,385
Northern wheatear,48946,Northern Wheatear,Oenanthe oenanthe,4102
Pied wheatear,49021,Pied Wheatear,Oenanthe pleschanka,442
Black-eared wheatear,48962,Western/Eastern Black-eared Wheatear,Oenanthe hispanica/melanoleuca,133
Black-eared wheatear,48964,Eastern Black-eared Wheatear,Oenanthe melanoleuca,108
Black-eared wheatear,48963,Western Black-eared Wheatear,Oenanthe hispanica,1
Desert wheatear,48958,Desert Wheatear,Oenanthe deserti,1236
White-crowned wheatear,49002,White-crowned Wheatear,Oenanthe leucopyga,58
Dunnock,50721,Dunnock,Prunella modularis,1758
Alpine accentor,50693,Alpine Accentor,Prunella collaris,96
Siberian accentor,50709,Siberian Accentor,Prunella montanella,207
House sparrow,49798,House Sparrow,Passer domesticus,1600
Spanish sparrow,49811,Spanish Sparrow,Passer hispaniolensis,238
Rock sparrow,49873,Rock Sparrow,Petronia petronia,40
Citrine wagtail,50755,Citrine Wagtail,Motacilla citreola,422
Grey wagtail,50762,Grey Wagtail,Motacilla cinerea,1531
White wagtail,50770,White Wagtail,Motacilla alba,440
Richard's pipit,50940,Richard's Pipit,Anthus richardi,244
Blyth's pipit,50942,Blyth's Pipit,Anthus godlewskii,140
Tawny pipit,50943,Tawny Pipit,Anthus campestris,168
Olive-backed pipit,50885,Olive-backed Pipit,Anthus hodgsoni,208
Tree pipit,50882,Tree Pipit,Anthus trivialis,446
Pechora pipit,50888,Pechora Pipit,Anthus gustavi,86
Meadow pipit,50944,Meadow Pipit,Anthus pratensis,2086
Red-throated pipit,50946,Red-throated Pipit,Anthus cervinus,193
Water pipit,50895,Water Pipit,Anthus spinoletta,535
Buff-bellied pipit,50891,Buff-bellied Pipit,Anthus rubescens,275
Buff-bellied pipit,50893,American Buff-bellied Pipit,Anthus rubescens rubescens,13
Buff-bellied pipit,50892,Siberian Buff-bellied Pipit,Anthus rubescens japonicus,1
Brambling,50990,Brambling,Fringilla montifringilla,2037
European serin,51492,European Serin,Serinus serinus,256
Citril finch,51478,Citril Finch,Carduelis citrinella,48
Twite,51397,Twite,Linaria flavirostris,799
Eurasian siskin,51541,Eurasian Siskin,Spinus spinus,1768
Lesser redpoll,51421,Lesser Redpoll,Acanthis cabaret,1735
Mealy redpoll,51422,Mealy Redpoll,Acanthis flammea flammea,209
Arctic redpoll,51425,Coues's Arctic Redpoll,Acanthis hornemanni exilipes,304
Arctic redpoll,51426,Hornemann's Arctic Redpoll,Acanthis hornemanni hornemanni,298
Arctic redpoll,51424,Arctic Redpoll,Acanthis hornemanni,20
Two-barred crossbill,51449,Two-barred Crossbill,Loxia leucoptera,316
Scottish crossbill,51453,Scottish Crossbill,Loxia scotica,19
Parrot crossbill,51452,Parrot Crossbill,Loxia pytyopsittacus,315
Trumpeter finch,51068,Trumpeter Finch,Bucanetes githagineus,154
Common rosefinch,51115,Common Rosefinch,Carpodacus erythrinus,351
Pine grosbeak,51025,Pine Grosbeak,Pinicola enucleator,127
Eurasian bullfinch,51049,Eurasian Bullfinch,Pyrrhula pyrrhula,2244
Hawfinch,51010,Hawfinch,Coccothraustes coccothraustes,1403
Evening grosbeak,51000,Evening Grosbeak,Hesperiphona vespertina,8
Snow bunting,54365,Snow Bunting,Plectrophenax nivalis,3547
Snow bunting,54352,"Longspurs, snow buntings",Calcariidae,0
Lapland bunting,54356,Lapland Bunting,Calcarius lapponicus,948
Summer tanager,54396,Summer Tanager,Piranga rubra,16
Scarlet tanager,54411,Scarlet Tanager,Piranga olivacea,39
Rose-breasted grosbeak,54471,Rose-breasted Grosbeak,Pheucticus ludovicianus,70
Indigo bunting,54636,Indigo Bunting,Passerina cyanea,18
Eastern towhee,52926,Eastern Towhee,Pipilo erythrophthalmus,9
Lark sparrow,52799,Lark Sparrow,Chondestes grammacus,7
Savannah sparrow,52704,Savannah Sparrow,Passerculus sandwichensis,21
Song sparrow,52606,Song Sparrow,Melospiza melodia,28
White-crowned sparrow,52669,White-crowned Sparrow,Zonotrichia leucophrys,143
White-throated sparrow,52676,White-throated Sparrow,Zonotrichia albicollis,116
Dark-eyed junco,52679,Dark-eyed Junco,Junco hyemalis,161
Black-faced bunting,52529,Black-faced Bunting,Emberiza spodocephala,8
Pine bunting,52449,Pine Bunting,Emberiza leucocephalos,81
Pine bunting,196263,Pine Bunting × Yellowhammer,Emberiza leucocephalos × citrinella,0
Yellowhammer,52445,Yellowhammer,Emberiza citrinella,1753
Yellowhammer,196263,Pine Bunting × Yellowhammer,Emberiza leucocephalos × citrinella,0
Cirl bunting,52570,Cirl Bunting,Emberiza cirlus,328
Rock bunting,52452,Rock Bunting,Emberiza cia,83
Ortolan bunting,52568,Ortolan Bunting,Emberiza hortulana,189
Cretzschmar's bunting,52569,Cretzschmar's Bunting,Emberiza caesia,80
Yellow-browed bunting,52576,Yellow-browed Bunting,Emberiza chrysophrys,3
Rustic bunting,52577,Rustic Bunting,Emberiza rustica,115
Chestnut-eared bunting,52506,Chestnut-eared Bunting,Emberiza fucata,20
Little bunting,52575,Little Bunting,Emberiza pusilla,394
Yellow-breasted bunting,52513,Yellow-breasted Bunting,Emberiza aureola,27
Chestnut bunting,52579,Chestnut Bunting,Emberiza rutila,12
Reed bunting,52544,Reed Bunting,Emberiza schoeniclus,2803
Reed bunting,52541,Japanese Reed Bunting,Emberiza yessoensis,6
Reed bunting,52536,Pallas's Reed Bunting,Emberiza pallasi,6
Black-headed bunting,52581,Black-headed Bunting,Emberiza melanocephala,158
Corn bunting,52442,Corn Bunting,Emberiza calandra,784
Bobolink,52050,Bobolink,Dolichonyx oryzivorus,23
Brown-headed cowbird,52282,Brown-headed Cowbird,Molothrus ater,19
Baltimore oriole,52217,Baltimore Oriole,Icterus galbula,60
Red-winged blackbird,52239,Red-winged Blackbird,Agelaius phoeniceus,48
Ovenbird,51650,Ovenbird,Seiurus aurocapilla,21
Ovenbird,33240,Ovenbirds,Furnariidae,0
Northern waterthrush,51658,Northern Waterthrush,Parkesia noveboracensis,42
Golden-winged warbler,51661,Golden-winged Warbler,Vermivora chrysoptera,5
Black-and-white warbler,51664,Black-and-white Warbler,Mniotilta varia,49
Tennessee warbler,51686,Tennessee Warbler,Leiothlypis peregrina,14
Common yellowthroat,51723,Common Yellowthroat,Geothlypis trichas,78
Hooded warbler,51845,Hooded Warbler,Setophaga citrina,18
Hooded warbler,43528,Grey-hooded Warbler,Phylloscopus xanthoschistos,4
American redstart,51846,American Redstart,Setophaga ruticilla,48
Cape May warbler,51848,Cape May Warbler,Setophaga tigrina,40
Northern parula,51850,Northern Parula,Setophaga americana,32
Magnolia warbler,51851,Magnolia Warbler,Setophaga magnolia,19
Bay-breasted warbler,51852,Bay-breasted Warbler,Setophaga castanea,7
Blackburnian warbler,51853,Blackburnian Warbler,Setophaga fusca,15
Yellow warbler,51764,American Yellow Warbler,Setophaga aestiva,63
Yellow warbler,43728,African Yellow Warbler,Iduna natalensis,0
Yellow warbler,43739,Mountain Yellow Warbler,Iduna similis,0
Yellow warbler,43744,Papyrus Yellow Warbler,Calamonastides gracilirostris,0
Chestnut-sided warbler,51854,Chestnut-sided Warbler,Setophaga pensylvanica,16
Blackpoll warbler,51855,Blackpoll Warbler,Setophaga striata,68
Wilson's warbler,51980,Wilson's Warbler,Cardellina pusilla,31
Brown booby,23110,Brown Booby,Sula leucogaster,99
Paddyfield pipit,50803,Paddyfield Pipit,Anthus rufulus,35
